Name,Nationality,Team,Age,Skill Rating,Position,Number,Goals,Yellow Cards,Red Cards,Value
Arsen Zakharyan,RUS,Real Sociedad,21,63,MF,8,0,0,0,15000000
Pablo Marin,ESP,Real Sociedad,21,56,MF,28,0,0,0,3000000
Ander Barrenetxea,ESP,Real Sociedad,23,73,ST,7,0,0,0,18000000
Sheraldo Becker,SUR,Real Sociedad,30,69,ST,11,0,0,0,4000000
Arkaitz Mariezkurrena,ESP,Real Sociedad,20,43,ST,40,0,0,0,500000
Takefusa Kubo,JPN,Real Sociedad,23,75,ST,14,0,0,0,40000000
Sergio Gomez,ESP,Real Sociedad,24,66,ST,17,0,0,0,20000000
Mikel Oyazarbal,ESP,Real Sociedad,27,77,ST,10,0,0,0,30000000
Orri Oskarsson,ISL,Real Sociedad,20,58,ST,9,0,0,0,18000000
Karl Hein,EST,Real Valladolid,23,60,GK,13,0,0,0,3000000
Andre Ferreira,PRT,Real Valladolid,28,61,GK,1,0,0,0,800000
Eray Comert,CHE,Real Valladolid,27,63,DF,15,0,0,0,2500000
Javi Sanchez,ESP,Real Valladolid,28,66,DF,5,0,0,0,1800000
Cenk Ozkacar,TUR,Real Valladolid,24,64,DF,6,0,0,0,1500000
David Torres,ESP,Real Valladolid,22,58,DF,3,0,0,0,1400000
Joseph Aidoo,GHA,Real Valladolid,29,67,DF,16,0,0,0,1400000
Adam Aznou,MAR,Real Valladolid,18,47,DF,39,0,0,0,3000000
Henrique Silva,BRA,Real Valladolid,30,41,DF,17,0,0,0,600000
Antonio Candela,ITA,Real Valladolid,24,61,DF,22,0,0,0,2000000
Luis Perez,ESP,Real Valladolid,30,63,DF,2,0,0,0,1500000
Florian Grillitsch,AUT,Real Valladolid,29,69,MF,8,0,0,0,3000000
Mario Martin,ESP,Real Valladolid,21,55,MF,12,0,0,0,1500000
Stanko Juric,HRV,Real Valladolid,28,61,MF,20,0,0,0,1500000
Tamas Nikitscher,HUN,Real Valladolid,25,50,MF,4,0,0,0,1000000
Selim Amallah,MAR,Real Valladolid,28,65,MF,21,0,0,0,1800000
Chuki,ESP,Real Valladolid,20,43,MF,28,0,0,0,1000000
Raul Moro,ESP,Real Valladolid,22,57,ST,11,0,0,0,5000000
Darwin Machis ,VEN,Real Valladolid,32,66,ST,18,0,0,0,1000000
Kenedy,BRA,Real Valladolid,29,63,ST,24,0,0,0,300000
Amath Ndiaye,SEN,Real Valladolid,28,64,ST,19,0,0,0,1000000
Anuar,MAR,Real Valladolid,30,59,ST,23,0,0,0,900000
Ivan Sanchez,ESP,Real Valladolid,32,63,ST,10,0,0,0,600000
Juanmi Latasa,ESP,Real Valladolid,24,63,ST,14,0,0,0,2500000
Mamadou Sylla,SEN,Real Valladolid,31,61,ST,7,0,0,0,1500000
Marcos Andre,BRA,Real Valladolid,28,62,ST,9,0,0,0,1200000
Alvaro Fernandez,ESP,Sevilla,27,69,GK,1,0,0,0,2500000
Orjan Nyland,NOR,Sevilla,34,65,GK,13,0,0,0,1000000
Loic Bade ,FRA,Sevilla,25,67,DF,22,0,0,0,30000000
Kike Salas,ESP,Sevilla,22,63,DF,4,0,0,0,8000000
Marcao,BRA,Sevilla,28,72,DF,23,0,0,0,3000000
Tanguy Nianzou,FRA,Sevilla,22,67,DF,24,0,0,0,3000000
Adria Pedrosa,ESP,Sevilla,26,67,DF,3,0,0,0,7000000
Jose Angel Carmona,ESP,Sevilla,23,63,DF,2,0,0,0,12000000
Juanlu Sanchez,ESP,Sevilla,21,62,DF,26,0,0,0,12000000
Lucien Agoume,FRA,Sevilla,23,61,MF,18,0,0,0,7000000
Nemanja Gudelj,SRB,Sevilla,33,70,MF,6,0,0,0,3500000
Albert Sambi Lokonga,BEL,Sevilla,25,69,MF,12,0,0,0,9000000
Djibril Sow,CHE,Sevilla,28,69,MF,20,0,0,0,7500000
Saul Niguez,ESP,Sevilla,30,71,MF,17,0,0,0,3500000
Manu Bueno,ESP,Sevilla,20,53,MF,28,0,0,0,1500000
Stanis Idumbo,BEL,Sevilla,19,55,MF,27,0,0,0,2500000
Ruben Vargas,CHE,Sevilla,26,66,ST,5,0,0,0,7000000
Chidera Ejuke,NGA,Sevilla,27,65,ST,21,0,0,0,6000000
Dodi Lukebakio,BEL,Sevilla,27,70,ST,11,0,0,0,25000000
Suso,ESP,Sevilla,31,71,ST,10,0,0,0,2500000
Peque Fernandez,ESP,Sevilla,22,62,ST,14,0,0,0,3500000
Isaac Romero,ESP,Sevilla,24,65,ST,7,0,0,0,10000000
Akor Adams,NGA,Sevilla,25,62,ST,15,0,0,0,7500000
Dinko Horkas,HRV,Las Palmas,26,60,GK,13,0,0,0,1200000
Jasper Cillessen,NLD,Las Palmas,35,63,GK,1,0,0,0,900000
Mika Marmol,ESP,Las Palmas,23,68,DF,3,0,0,0,12000000
Scott McKenna,SCO,Las Palmas,28,64,DF,15,0,0,0,5000000
Juanma Herzog,ESP,Las Palmas,20,49,DF,28,0,0,0,1500000
Alex Suarez,ESP,Las Palmas,32,62,DF,4,0,0,0,1000000
Alex Munoz,ESP,Las Palmas,30,64,DF,23,0,0,0,1200000
Andy Pelmard,FRA,Las Palmas,25,63,DF,6,0,0,0,2500000
Viti Rozada,ESP,Las Palmas,27,,DF,18,0,0,0,2500000
Marvin Park,ESP,Las Palmas,24,63,DF,2,0,0,0,1500000
Dario Essugo,PRT,Las Palmas,20,56,MF,29,0,0,0,15000000
Stefan Bajcetic,ESP,Las Palmas,20,60,MF,21,0,0,0,9000000
Javi Munoz,ESP,Las Palmas,30,67,MF,5,0,0,0,2500000
Enzo Loiodice,FRA,Las Palmas,24,65,MF,12,0,0,0,1500000
Jose Campana,ESP,Las Palmas,31,70,MF,8,0,0,0,1000000
Alberto Moleiro,ESP,Las Palmas,21,66,MF,10,0,0,0,25000000
Kirian Rodriguez,ESP,Las Palmas,29,70,MF,20,0,0,0,12000000
Manu Fuster,ESP,Las Palmas,27,65,ST,14,0,0,0,1500000
Benito Ramirez,ESP,Las Palmas,29,59,ST,11,0,0,0,800000
Adnan Januzaj,BEL,Las Palmas,30,65,ST,24,0,0,0,1200000
Fabio Silva,PRT,Las Palmas,22,64,ST,37,0,0,0,20000000
Oli McBurnie,SCO,Las Palmas,28,63,ST,16,0,0,0,2500000
Sandro Ramirez,ESP,Las Palmas,29,70,ST,19,0,0,0,2500000
Marc Cardona,ESP,Las Palmas,29,61,ST,9,0,0,0,900000
Jaime Mata,ESP,Las Palmas,36,63,ST,17,0,0,0,600000
Giorgi Mamardashvili,GEO,Valencia,24,75,GK,25,0,0,0,30000000
Stole Dimitrievski,MKD,Valencia,31,70,GK,13,0,0,0,3000000
Jaume Domenech,ESP,Valencia,34,66,GK,1,0,0,0,600000
Cristhian Mosquera,ESP,Valencia,20,65,DF,3,0,0,0,30000000
Yarek Gasiorowski,ESP,Valencia,20,55,DF,24,0,0,0,12000000
Cesar Tarrega,ESP,Valencia,23,53,DF,15,0,0,0,6000000
Mouctar Diakhaby,GIN,Valencia,28,71,DF,4,0,0,0,2000000
Jose Gaya,ESP,Valencia,29,79,DF,14,0,0,0,15000000
Jesus Vazquez,ESP,Valencia,22,62,DF,21,0,0,0,3000000
Max Aarons,ENG,Valencia,25,65,DF,19,0,0,0,12000000
Thierry Correia,PRT,Valencia,26,69,DF,26,0,0,0,6000000
Dimitri Foulquier,GLP,Valencia,32,64,DF,20,0,0,0,2000000
Pepelu,ESP,Valencia,26,69,MF,18,0,0,0,12000000
Enzo Barrenechea,ARG,Valencia,23,64,MF,5,0,0,0,7500000
Hugo Guillamon,ESP,Valencia,25,67,MF,6,0,0,0,5000000
Javi Guerra,ESP,Valencia,21,70,MF,8,0,0,0,20000000
Andre Almeida,PRT,Valencia,24,68,MF,10,0,0,0,8000000
Ivan Jaime,ESP,Valencia,24,68,MF,17,0,0,0,7000000
Martin Tejon,ESP,Valencia,21,43,MF,32,0,0,0,500000
Luis Rioja,ESP,Valencia,31,69,ST,22,0,0,0,2000000
Sergi Canos,ESP,Valencia,28,63,ST,7,0,0,0,1500000
Diego Lopez,ESP,Valencia,22,66,ST,16,0,0,0,10000000
Fran Perez,ESP,Valencia,22,64,ST,23,0,0,0,4000000
Hugo Duro,ESP,Valencia,25,69,ST,9,0,0,0,10000000
Umar Sadiq,NGA,Valencia,28,71,ST,12,0,0,0,5000000
Rafa Mir,ESP,Valencia,27,65,ST,11,0,0,0,800000
Diego Conde,ESP,Villarreal ,26,54,GK,13,0,0,0,10000000
Luiz Junior,BRA,Villarreal ,24,65,GK,1,0,0,0,5000000
Iker Alvarez,AND,Villarreal ,23,57,GK,31,0,0,0,800000
Logan Costa,CPV,Villarreal ,24,62,DF,2,0,0,0,15000000
Willy Kambwala,FRA,Villarreal ,20,55,DF,5,0,0,0,4000000
Eric Bailly,CIV,Villarreal ,31,65,DF,4,0,0,0,2500000
Raul Albiol,ESP,Villarreal ,39,74,DF,3,0,0,0,1300000
Pau Navarro,ESP,Villarreal ,19,33,DF,26,0,0,0,1000000
Sergi Cardona,ESP,Villarreal ,25,68,DF,23,0,0,0,8000000
Alfonso Pedrazza,ESP,Villarreal ,29,72,DF,24,0,0,0,2500000
Juan Foyth,ARG,Villarreal ,27,73,DF,8,0,0,0,10000000
Kiko Femenia,ESP,Villarreal ,34,69,DF,17,0,0,0,1200000
Pape Gueye,SEN,Villarreal ,26,63,MF,18,0,0,0,10000000
Santi Comesana,ESP,Villarreal ,28,70,MF,14,0,0,0,8000000
Dani Parejo,ESP,Villarreal ,35,74,MF,10,0,0,0,2000000
Denis Suarez,ESP,Villarreal ,31,73,MF,6,0,0,0,1300000
Alex Baena,ESP,Villarreal ,23,72,ST,16,0,0,0,50000000
Yeremy Pino,ESP,Villarreal ,22,71,ST,21,0,0,0,30000000
Ilias Akhomach,MAR,Villarreal ,20,63,ST,11,0,0,0,15000000
Tajon Buchanan,CAN,Villarreal ,26,64,ST,9,0,0,0,6000000
Nicolas Pepe,CIV,Villarreal ,29,68,ST,19,0,0,0,6000000
Thierno Barry,FRA,Villarreal ,22,55,ST,15,0,0,0,14000000
Ayoze Perez,ESP,Villarreal ,31,71,ST,22,0,0,0,10000000
Gerard Moreno,ESP,Villarreal ,33,77,ST,7,0,0,0,5000000
